Depth_m,Azimuth_deg,Dip_deg
54.95,92.44,68.81
56.55,10.76,59.18
57.5,348.44,47.96
57.98,90.44,77.64
58.34,248.11,70.97
58.5,292.51,56.44
58.65,258.7,68.23
59.01,170.81,12.5
59.15,22.38,26.2
59.28,60.28,34.58
59.37,344.62,26.61
59.91,321.43,41.38
59.98,156.81,64.58
60.04,165.88,64.77
60.11,147.25,65.69
60.37,169.91,63.61
60.92,171.8,47.07
61.69,143.68,45.02
61.84,47.73,64.74
62.08,50.26,50.43
62.15,78.87,60.17
62.28,45.98,68.58
62.51,163.33,60.42
62.62,194.65,75.83
63.85,49.73,75.15
65.48,65.33,79.47
65.56,57.8,73.11
68.55,135.69,62.55
68.67,121.14,67.38
69.66,132.1,44.32
70.22,203.05,53.25
70.3,214.23,56.7
71.42,24.62,76.76
72.75,187.56,61.72
74.7,200.2,61.53
79.53,28.08,78.48
82.9,198.69,76.54
86.36,209.75,71.98
86.47,207.74,71.42
86.65,205.72,71.41
86.78,225.4,80.25
86.81,227.41,81.75
87.05,190.14,78.78
87.11,194.65,72.57
87.46,206.24,74.13
87.5,206.25,77.63
87.72,209.74,68.19
87.75,210.32,63.73
87.8,206.22,70.48
87.82,216.82,76.39
88.29,201.73,81.54
88.66,69.3,66.18
88.71,64.77,65.01
89.65,201.41,72.9
90.05,198.39,73.54
90.36,262.6,26.39
90.52,247.47,33.23
91.07,340.92,36.24
91.75,77.84,67.13
96.06,126.55,82.9
97.26,111.97,75.61
107.05,95.87,83.34
119.03,2.39,81.5
122.15,193.89,76.73
124.59,42.68,14.34
125.82,28.74,29.94
126.08,49.66,47.47
127.3,175.2,65.41
127.35,175.2,65.01
127.6,174.23,72.6
127.61,260.81,26.27
127.62,250.77,26.88
127.66,176.77,77.8
127.96,178.22,56.23
128.28,319.28,17.21
128.51,174.73,70.94
128.55,178.2,62.83
128.65,178.2,62.37
128.67,178.12,50.62
128.69,174.71,59.03
128.75,168.68,69.4
128.99,20.98,75.07
129.22,100.86,74.68
129.32,162.94,69.02
129.55,233.6,51.34
129.7,276.95,68.05
129.81,20.03,72.21
130.02,76.74,75.14
130.31,98.35,75.83
134.24,70.34,12.79
167.32,96.28,54.22
167.77,345.71,33.95
168.57,107.85,52.89
168.58,101.88,65.08
169.68,110.4,67.64
169.76,116.96,60.44
169.8,116.96,66.47
170.1,121,69.28
170.64,57.23,75.3
174.4,193.95,75.29
175.08,187.91,80.26
175.76,183.39,74.26
183.81,172.31,62.78
184.11,53.56,65.7
214.78,44.76,34.57
214.94,36.34,37.6
214.97,21.29,33.62
215.05,95.37,30.02
215.05,212.02,19.32
215.17,100.4,30
215.22,179.85,58.2
215.41,198.49,57.14
215.54,179.86,49.11
215.69,17.88,57.82
215.85,29.76,36.25
215.94,59.36,39.8
216.04,47.66,32.01
216.12,40.73,27.41
217.05,47.76,35.06
217.17,36.83,38.07
218.22,19.92,68.27
219.41,167.21,58.63
219.61,168.74,69.01
219.73,182.35,62.83
219.84,11.9,45.67
220.08,3.9,39.96
220.66,183.86,78.94
220.86,169.23,55.07
221.06,171.28,74.1
221.19,169.75,69.65
221.24,175.31,69.27
221.74,177.31,64.97
223.32,168.24,61.04
223.76,89.09,49.83
223.88,75.93,39.76
230.5,97.01,24.15
230.92,165.27,64.59
232.56,38.85,36.64
233.15,161.08,53.77
233.43,64.08,57.66
235.67,33.88,35.78
235.93,3.39,80.92
236.21,148.54,65.14
236.44,60.57,36.59
236.59,181.25,50.66
236.72,56.24,24.96
236.86,33.79,22.47
236.91,30.91,38.21
236.93,5.48,35.69
237.01,53.02,53.29
237.23,164.2,76.32
237.28,147.09,75.35
237.38,140.95,55.69
237.45,136.49,72.22
238.18,34.96,52.31
238.27,113.3,66.02
238.42,150.05,67.1
238.46,174.53,69.19
238.71,326.59,38.5
239.08,100.16,12.84
239.16,117.46,84.69
247.11,0.04,26.85
256.76,193.36,66.39
259.44,194.4,76.8
264.12,193.41,80
264.83,92.73,71.27
275.64,87.47,67.21
278.01,59.02,74.78
286.09,63.73,67.16
286.27,37.64,66.88
286.84,75.9,37.16
286.94,42.76,42.08
287.04,43.29,38.08
287.09,82.78,55.41
292.85,339.28,81.07
323.91,300.1,73.66
325.61,171.22,72.89
325.7,177.75,70.01
328.26,190.37,76.09
337.55,170.84,71.19
338.35,164.34,58.8
339.21,168.58,60.47
339.44,177.22,71.86
339.55,175.65,68.81
339.63,163.12,72.21
339.86,170.92,78.22
340.32,333.19,41.65
340.77,196.2,40.08
340.8,178.19,52.62
352.92,198.74,56.71
353.12,144.03,12.6
353.28,185.51,56.51
353.31,209.28,47.21
353.38,162.39,80.8
353.83,329.32,77.95
355.07,37.62,72.5
367.01,180.3,84.83
370.78,228.23,18.75
389.15,235.31,47.73
399,141.42,69.79
399.09,145.11,85.15
399.24,81.29,35.87
399.5,83.89,60.91
400.24,330.83,75.65
400.64,158.59,76.12
401.08,140.03,79.35
402.15,135.99,77.07
402.92,314.27,73.78
403.05,301.83,62.75
407.08,141.44,72.12
409.92,213.45,62.6
411.06,192.19,44.48
411.3,199.15,42.52
411.37,176.5,54.49
414.52,173.51,23.71
418.17,39.16,56.19
419.96,149.42,66.59
420.5,167.46,63.32
420.54,170.57,67.54
420.68,168.04,70.06
420.71,169.98,63.76
421.12,178.83,71.96
421.24,183.13,65.34
421.31,182.09,65.16
421.37,186.6,62.72
421.57,78.7,67.78
422.11,158.97,65.79
424.45,43.84,35.06
424.63,63.15,18.91
424.95,52.84,22.24
425.71,54.22,45.32
425.95,68.59,27.86
426,47.63,16.83
426.31,73.63,52.6
427.62,311.31,70.66
428.39,29.65,30.1
428.41,34.4,43.26
428.53,10.01,79.82
429.3,169.98,68.01
429.37,69.57,32.97
429.4,65.1,20.26
429.92,80.6,38.13
431.29,215.07,35.28
434.97,29.22,25.26
436.91,80.77,69
437.02,54.77,65.79
438.22,50.57,30.82
438.52,56.26,70.5
439.81,89.35,22.21
440.85,69.32,54.79
440.98,77.24,56.88
446.44,273.54,38.06
446.57,272.52,20.23
447.56,81.15,55.38
447.76,251.06,44.7
447.79,250.83,40.18
451.19,44.99,35.13
452.39,48.19,71.87
453.14,246.18,62.89
453.83,247.15,71.66
453.95,271.42,44.04
455.39,62.5,24.76
455.6,53.49,41.49
456.49,67.25,57.47
458.24,96.79,54.84
461.76,74.27,82.7
463.53,253.72,68.51
464.04,234.54,67.14
465.08,98.34,60.09
465.6,175.19,77.47
466.41,182.9,51.53
468.34,69.34,62.9
468.87,78.83,59.4
469.05,118.4,72.65
469.73,79.8,86.58
470.72,106.31,61.46
470.97,87.83,77.96
471.7,97.85,73.01
473.99,260.17,38.16
474.99,266.52,32.23
476.85,245.38,46.97
477.12,240.75,30.09
478.01,44.2,38.45
478.27,101.36,72.47
478.71,262.77,58.99
478.84,198.43,50.44
478.93,64.12,37.38
478.94,199.86,55.38
479.01,198.44,46.95
479.03,202.96,49.81
479.09,202.46,50.43
479.22,223.42,64.49
479.36,199.77,52.58
482.41,344.19,57.71
483.27,329.5,63.77
483.79,287.69,31.99
483.9,358.16,27.79
487.52,73.81,45.7
489.64,106.1,24.09
489.8,59.97,63.18
490.64,214.8,63.24
490.98,65.3,58.34
491.17,203.95,45.73
491.28,170.19,60.94
491.97,184.85,47.36
492.58,318.83,71.66
492.79,188.63,61.2
492.89,179.13,57.05
492.99,297.95,56.67
493.2,166.11,77.53
493.41,5.71,68.36
493.59,321.73,66.77
493.79,56.83,53.81
493.91,317.89,68.86
494.03,302,50.5
494.45,42.32,46.78
494.9,92.13,52.09
495.28,32.71,53.12
495.38,31.97,31.33
495.48,20.45,29.56
496.64,42.42,15.46
496.91,295.49,49.28
497.33,155.9,72.87
497.35,344.05,55.7
497.51,290.85,22.8
497.56,16.25,12.96
497.66,259.39,53.72
497.96,221.66,8.5
498.12,299.12,69.05
498.48,335.24,59.41
499.14,26.68,42.87
499.84,345.94,77.88
499.96,331.1,64.99
501.05,100.72,22.94
501.2,64.84,30.97
502.52,21.06,49.44
502.59,12.45,55.1
502.65,351.54,49.99
503.73,309,61.22
504.22,48.99,48.08
504.24,69.23,76.17
504.44,15.75,37.53
504.55,88.33,67.26
505.04,36.77,34.62
505.08,27.36,38
505.2,36.95,50.58
505.3,44.6,22.19
505.28,58.15,23.07
505.43,177.7,52.73
506.3,37.35,30.84
507.91,215.99,13.94
508.44,84.41,27.44
509.6,147.23,63.48
509.72,86.89,31.26
509.93,195.38,34.89
510.35,324.25,55.12
510.41,320.8,66.04
510.47,320.36,74.77
510.55,311.02,60.37
510.76,352.76,53.52
511.81,146.94,35.58
512.05,143.6,39.47
513.15,191.58,29.23
515.13,46.08,44.66
516.06,221.98,81.28
516.23,231.61,84.3
518.13,88.15,42.38
518.29,208.07,16.25
519.39,84.75,71.1
519.46,79.72,60.39
519.49,75.77,76.51
519.77,256.78,82.12
531.92,220.94,15.94
540.05,41.14,40.35
540.22,40.73,40.25
550.51,20.2,36.46
550.62,93.11,51.24
551.02,134.46,66.07
557.56,162.15,66.82
558.46,69.7,77.61
561.96,175.99,77.18
567.5,347.28,55.21
569.64,30.91,47.07
573.42,66.96,79.28
575.61,40.11,41.81
577.94,178.86,73.07
578.34,165.72,78.68
579.46,175.96,79.46
580.32,323.81,53.77
580.6,164.77,78.08
580.81,94.78,73.31
580.92,86.31,72.78
581.3,161.14,68.63
582.04,271.82,77.23
582.43,16.55,7.85
582.57,47.59,25.94
582.59,22.61,53.23
583.26,61.74,81.78
584.1,73.23,82.79
584.15,59.4,57.8
584.21,50.61,77.41
584.28,49.01,65.58
584.36,52.75,51.29
584.38,64.37,49.2
584.42,85.61,48.04
584.53,85.47,55.14
585.24,6.6,58.62
585.47,220.42,25.97
587.61,27.55,66.32
588.21,258.69,79.63
596.14,341.54,48.23
596.76,352.37,30.79
598.89,1.97,37.13
599.49,21.45,41.89
599.75,331.26,57
599.9,1.67,50.32
599.98,356.89,45.52
600.07,354.69,48.88
600.31,348.92,57.8
600.35,229.24,71.11
600.62,345.51,46.6
600.64,328.25,64.54
600.97,329.71,57.75
601.21,174.2,77.77
601.29,7.84,54.7
602.49,322.75,62.99
606.17,52.06,38.5
606.75,262.25,80.82
610.37,31.31,38.34
610.86,48.42,75.84
611.22,48.26,59.78
611.42,231.38,75.49
612.03,352.18,45.22
612.8,255.17,26.37
613.06,56.05,69.28
613.47,52.78,66.47
614.82,36.77,6.61
614.96,305.72,39.69
615.8,26.55,13.89
616.71,326.49,32.52
617.99,174.95,73.59
619.17,249.94,21.37
619.93,315.11,37.38
620.31,82.91,78.04
620.64,75.89,80.05
622.5,63.3,76.25
622.54,284.03,14.64
623.42,273.61,19.51
626.12,59.57,64.16
629.21,10.33,74.85
629.5,348.87,76.47
631.12,39.08,69.08
639.79,180.14,81.95
642.43,238.02,45.12
646.31,39.41,42.52
646.59,46.38,29.7
646.62,60.74,44.16
646.64,67.84,39.94
646.96,122.19,56.03
655.4,110.94,79.74
656.29,41.12,38.68
660.01,275.81,63.7
663.26,329.35,56.66
664.18,261.9,61.53
665.82,112.43,64.88
669.09,329.5,72.8
669.57,339.07,74.68
670.59,108.97,73.81
671.05,311.1,48.44
671.25,232.77,73.78
671.73,120.48,84.35
673.34,187.01,36.7
677.25,277.12,51
679,118.4,71.61
679.04,264.84,62.27
679.54,80.9,53.54
679.75,91.76,65.58
680,223.72,76.52
680.43,302.13,78.04
680.6,320.38,23.87
680.93,162.36,75.78
681.08,308.37,32.67
681.22,283.85,16.9
681.26,276.7,31.64
681.47,292.88,34.57
681.69,9.45,48.55
681.9,178.55,76.81
682.12,12.78,43.68
682.32,6,71.43
682.4,347.3,19.13
682.43,284.39,22.39
682.78,184.9,75.86
683.06,49.31,31.1
683.31,11.84,36.19
683.41,33.83,22.05
683.67,358.82,48.99
684.23,195.29,71.27
684.33,258.04,34.21
687.85,351.76,59.79
689.69,265.72,58.65
690.06,121.37,75.42
691.47,322.07,47.92
691.57,328.11,36.34
691.71,318.52,45.37
691.87,324.74,47.54
691.93,306.44,48.25
692.14,329.62,54.25
692.31,339.84,67.63
692.47,180.71,71.16
692.57,349.8,40.19
692.96,338.45,80.9
693.09,337.85,52.87
693.17,342.16,51.82
693.51,306.18,50.59
694.02,347.32,58.54
694.38,162.6,67.66
694.75,156.14,69.65
695.82,114.43,83.07
696.67,127.41,50.15
696.75,57.79,40.53
697.42,75.11,69.13
698.04,76.59,70.81
699.19,304.81,70.17
699.21,83.55,70
699.93,270.97,64.21
699.95,80.04,76.84
701.3,61.88,82.89
703.74,66.12,77.71
703.8,51.73,54.46
704.51,176.07,69.03
705.06,169.56,77.76
705.14,166.38,78.16
705.38,321.9,38.77
709.1,141.52,85.95
709.54,142.55,86.76
710.04,298.62,50.92
710.39,145.5,84.86
710.62,313.74,51.07
710.97,139.84,77.46
711.1,145.45,66.12
711.24,148.4,80.44
712.46,238.61,61.08
712.81,291.53,83.26
726.93,292.51,82.08
732.56,311.08,84.53
732.91,248.12,82.41
736.08,308.75,52.46
736.26,316.83,82.47
736.4,336.21,69.21
737.65,321.94,72.48
740.3,242.27,58.9
741.38,219.47,51.36
742.87,333.99,78.45
745.43,142.03,33.22
745.7,169.81,31.84
745.79,312.6,62.56
746.02,305.48,65.68
746.63,164.81,58.48
746.69,310.4,66.2
746.94,318.61,65.66
747.13,315.49,68.38
747.32,124.46,48.98
747.37,137.8,39.86
747.4,121.3,49.3
747.48,323.15,70.61
748.28,138.18,35.85
748.55,164.95,58
748.59,317.72,60.28
748.62,192.03,38.96
748.74,319.55,77.61
750.65,176.36,58.01
750.76,188.21,45.33
751.31,161.68,52.87
751.5,166.61,61.53
752.71,187.56,14.94
754.13,175.22,35.55
